Commodity,Year,Attribute,Value
Grains: Per capita availability adjusted for loss,1970,Primary weight-Lbs/year,136.7043201
Grains: Per capita availability adjusted for loss,1971,Primary weight-Lbs/year,134.6681881
Grains: Per capita availability adjusted for loss,1972,Primary weight-Lbs/year,133.1554634
Grains: Per capita availability adjusted for loss,1973,Primary weight-Lbs/year,136.9927906
Grains: Per capita availability adjusted for loss,1974,Primary weight-Lbs/year,135.6240513
Grains: Per capita availability adjusted for loss,1975,Primary weight-Lbs/year,138.7183414
Grains: Per capita availability adjusted for loss,1976,Primary weight-Lbs/year,143.5670696
Grains: Per capita availability adjusted for loss,1977,Primary weight-Lbs/year,139.1273353
Grains: Per capita availability adjusted for loss,1978,Primary weight-Lbs/year,142.8595429
Grains: Per capita availability adjusted for loss,1979,Primary weight-Lbs/year,144.2619843
Grains: Per capita availability adjusted for loss,1980,Primary weight-Lbs/year,146.4295712
Grains: Per capita availability adjusted for loss,1981,Primary weight-Lbs/year,146.6290288
Grains: Per capita availability adjusted for loss,1982,Primary weight-Lbs/year,146.0882586
Grains: Per capita availability adjusted for loss,1983,Primary weight-Lbs/year,146.4993398
Grains: Per capita availability adjusted for loss,1984,Primary weight-Lbs/year,149.6986709
Grains: Per capita availability adjusted for loss,1985,Primary weight-Lbs/year,159.159104
Grains: Per capita availability adjusted for loss,1986,Primary weight-Lbs/year,164.0462965
Grains: Per capita availability adjusted for loss,1987,Primary weight-Lbs/year,171.6029093
Grains: Per capita availability adjusted for loss,1988,Primary weight-Lbs/year,176.0808188
Grains: Per capita availability adjusted for loss,1989,Primary weight-Lbs/year,174.6231917
Grains: Per capita availability adjusted for loss,1990,Primary weight-Lbs/year,181.0503913
Grains: Per capita availability adjusted for loss,1991,Primary weight-Lbs/year,181.8709422
Grains: Per capita availability adjusted for loss,1992,Primary weight-Lbs/year,184.3981037
Grains: Per capita availability adjusted for loss,1993,Primary weight-Lbs/year,189.6899959
Grains: Per capita availability adjusted for loss,1994,Primary weight-Lbs/year,191.1074928
Grains: Per capita availability adjusted for loss,1995,Primary weight-Lbs/year,189.6345832
Grains: Per capita availability adjusted for loss,1996,Primary weight-Lbs/year,196.8247713
Grains: Per capita availability adjusted for loss,1997,Primary weight-Lbs/year,197.0488278
Grains: Per capita availability adjusted for loss,1998,Primary weight-Lbs/year,194.7743629
