Commodity,Year,Attribute,Value
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1970,Primary weight-Lbs/year,301.8660179
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1971,Primary weight-Lbs/year,306.8846962
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1972,Primary weight-Lbs/year,303.1877368
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1973,Primary weight-Lbs/year,283.8698376
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1974,Primary weight-Lbs/year,294.2908764
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1975,Primary weight-Lbs/year,284.8951847
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1976,Primary weight-Lbs/year,298.6208687
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1977,Primary weight-Lbs/year,296.7297716
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1978,Primary weight-Lbs/year,293.1998284
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1979,Primary weight-Lbs/year,292.6326949
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1980,Primary weight-Lbs/year,293.8156793
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1981,Primary weight-Lbs/year,294.1348703
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1982,Primary weight-Lbs/year,288.0482224
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1983,Primary weight-Lbs/year,295.5753475
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1984,Primary weight-Lbs/year,297.9966023
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1985,Primary weight-Lbs/year,302.6018355
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1986,Primary weight-Lbs/year,303.0325563
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1987,Primary weight-Lbs/year,305.3673692
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1988,Primary weight-Lbs/year,310.2096642
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1989,Primary weight-Lbs/year,307.3075099
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1990,Primary weight-Lbs/year,305.2599139
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1991,Primary weight-Lbs/year,307.8989706
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1992,Primary weight-Lbs/year,313.2295974
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1993,Primary weight-Lbs/year,311.492797
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1994,Primary weight-Lbs/year,316.5124059
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1995,Primary weight-Lbs/year,314.8930697
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1996,Primary weight-Lbs/year,312.4995825
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1997,Primary weight-Lbs/year,311.5386065
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1998,Primary weight-Lbs/year,320.2704286
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1999,Primary weight-Lbs/year,329.8840796
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2000,Primary weight-Lbs/year,328.5720781
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2001,Primary weight-Lbs/year,325.0992006
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2002,Primary weight-Lbs/year,335.3377053
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2003,Primary weight-Lbs/year,334.5527158
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2004,Primary weight-Lbs/year,338.2746041
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2005,Primary weight-Lbs/year,335.6909953
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2006,Primary weight-Lbs/year,337.4861355
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2007,Primary weight-Lbs/year,336.2282289
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2008,Primary weight-Lbs/year,327.3424322
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2009,Primary weight-Lbs/year,321.4527812
